cluster,dataset,modality,split,model,family,response_direction_pearson_delta,distributional_energy_distance
C3,shifrut,KO,C3_true_lo_gene_50,donor-shift,simple,0.3905003471,7.461623249
C3,shifrut,KO,C3_true_lo_gene_50,linear-PCA,simple,0.2392262411,7.46162283
C4,frangieh_RNA,RNA,C4_modality_lo_ko_25,cell-mean,simple,0.6703519822,6.356180213
C4,frangieh_RNA,RNA,C4_modality_lo_ko_25,ctrl-pred,simple,0.02594723508,6.553042387
C4,frangieh_RNA,RNA,C4_modality_lo_ko_25,donor-shift,simple,0.6719524005,6.356180213
C4,frangieh_RNA,RNA,C4_modality_lo_ko_25,linear-PCA,simple,0.2847719809,6.356179965
C4,frangieh_RNA,RNA,C4_modality_lo_ko_50,cell-mean,simple,0.6492796208,6.394088872
C4,frangieh_RNA,RNA,C4_modality_lo_ko_50,ctrl-pred,simple,0.01581703312,6.585740617
C4,frangieh_RNA,RNA,C4_modality_lo_ko_50,donor-shift,simple,0.6505082168,6.394088872
C4,frangieh_RNA,RNA,C4_modality_lo_ko_50,linear-PCA,simple,0.2703448124,6.394089047
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_25,linear-shift-KOemb,Deterministic shift,0.07975048636,3.340550319
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_25,scGen,latent,0.07542537554,3.349371756
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_25,cell-mean,simple,0.6829374634,3.205481309
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_25,ctrl-pred,simple,0.07727948467,3.33779043
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_25,donor-shift,simple,0.6829374634,3.205481309
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_25,linear-PCA,simple,0.6829374634,3.205481309
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_50,linear-shift-KOemb,Deterministic shift,0.1669628733,3.329560605
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_50,scGen,latent,0.1650351966,3.330161942
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_50,cell-mean,simple,0.6961475467,3.200282282
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_50,ctrl-pred,simple,0.1612082681,3.329116375
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_50,donor-shift,simple,0.6961475467,3.200282282
C4,frangieh_protein,protein-CITE,C4_modality_lo_ko_50,linear-PCA,simple,0.6961475467,3.200282282
C4,frangieh_rna,RNA,C4_modality_lo_ko_25,linear-shift-KOemb,Deterministic shift,0.6131715706,6.382834455
C4,frangieh_rna,RNA,C4_modality_lo_ko_25,scGen,latent,0.5538903534,6.782157791
C4,frangieh_rna,RNA,C4_modality_lo_ko_50,linear-shift-KOemb,Deterministic shift,0.6154818312,6.407189593
C4,frangieh_rna,RNA,C4_modality_lo_ko_50,scGen,latent,0.5521375157,6.755286326
C5,op3_GSE279945,RNA,C5_global_compound_holdout,FP-ridge,chemistry,0.164200388,19.64137259
C5,op3_GSE279945,RNA,C5_global_compound_holdout,STATE,hybrid,0.1150212362,19.98565485
C5,op3_GSE279945,RNA,C5_global_compound_holdout,CPA,latent,0.1066869333,19.76996978
C5,op3_GSE279945,RNA,C5_global_compound_holdout,scGen,latent,0.07892994346,19.92635717
C5,op3_GSE279945,RNA,C5_global_compound_holdout,CINEMA-OT,ot,0.171819993,19.59853896
C5,op3_GSE279945,RNA,C5_global_compound_holdout,cell-mean,simple,0.1721795784,19.6136035
C5,op3_GSE279945,RNA,C5_global_compound_holdout,ctrl-pred,simple,0.002707070749,19.88870628
C5,op3_GSE279945,RNA,C5_global_compound_holdout,donor-shift,simple,0.1721795784,19.6136035
C5,op3_GSE279945,RNA,C5_global_compound_holdout,linear-PCA,simple,0.1498077666,19.61360359
C5,op3_GSE279945,RNA,C5_loct_B,FP-ridge,chemistry,0.4155767954,6.636237268
C5,op3_GSE279945,RNA,C5_loct_B,STATE,hybrid,0.1116133731,13.64288981
C5,op3_GSE279945,RNA,C5_loct_B,CPA,latent,0.08574650912,13.29740471
C5,op3_GSE279945,RNA,C5_loct_B,scGen,latent,0.12221634,9.268766245
C5,op3_GSE279945,RNA,C5_loct_B,CINEMA-OT,ot,0.272972687,7.08556189
C5,op3_GSE279945,RNA,C5_loct_B,cell-mean,simple,0.07413363786,13.84398205
C5,op3_GSE279945,RNA,C5_loct_B,ctrl-pred,simple,-0.02603748004,7.501896591
C5,op3_GSE279945,RNA,C5_loct_B,donor-shift,simple,0.278379554,7.085674889
C5,op3_GSE279945,RNA,C5_loct_B,linear-PCA,simple,0.2997303044,7.085674634
C5,op3_GSE279945,RNA,C5_loct_Mono,FP-ridge,chemistry,0.3057086863,5.244524763
C5,op3_GSE279945,RNA,C5_loct_Mono,STATE,hybrid,0.04098263516,32.40806335
C5,op3_GSE279945,RNA,C5_loct_Mono,CPA,latent,0.03807705129,33.01196921
C5,op3_GSE279945,RNA,C5_loct_Mono,scGen,latent,0.1905759085,7.908229521
C5,op3_GSE279945,RNA,C5_loct_Mono,CINEMA-OT,ot,0.189879071,5.641544439
C5,op3_GSE279945,RNA,C5_loct_Mono,cell-mean,simple,0.01872463117,33.20118413
C5,op3_GSE279945,RNA,C5_loct_Mono,ctrl-pred,simple,0.00547916049,5.579535512
C5,op3_GSE279945,RNA,C5_loct_Mono,donor-shift,simple,0.1901579501,5.648437572
C5,op3_GSE279945,RNA,C5_loct_Mono,linear-PCA,simple,0.184644847,5.648439253
C5,op3_GSE279945,RNA,C5_loct_NK,FP-ridge,chemistry,0.3898076419,6.662965876
C5,op3_GSE279945,RNA,C5_loct_NK,STATE,hybrid,0.03185946885,21.54312694
C5,op3_GSE279945,RNA,C5_loct_NK,CPA,latent,0.01378792549,21.97727248
C5,op3_GSE279945,RNA,C5_loct_NK,scGen,latent,0.2136937767,7.245555496
C5,op3_GSE279945,RNA,C5_loct_NK,CINEMA-OT,ot,0.2515329207,6.757126843
C5,op3_GSE279945,RNA,C5_loct_NK,cell-mean,simple,-0.004159007956,21.50729711
C5,op3_GSE279945,RNA,C5_loct_NK,ctrl-pred,simple,-0.01104790016,7.146360318
C5,op3_GSE279945,RNA,C5_loct_NK,donor-shift,simple,0.2560246006,6.765115018
C5,op3_GSE279945,RNA,C5_loct_NK,linear-PCA,simple,0.2593769224,6.765115332
C5,op3_GSE279945,RNA,C5_loct_T_cells,FP-ridge,chemistry,0.43870389,6.40017387
C5,op3_GSE279945,RNA,C5_loct_T_cells,STATE,hybrid,0.05577907714,15.2690961
C5,op3_GSE279945,RNA,C5_loct_T_cells,CPA,latent,0.02650785379,15.51462257
C5,op3_GSE279945,RNA,C5_loct_T_cells,scGen,latent,0.1922065519,8.129303295
C5,op3_GSE279945,RNA,C5_loct_T_cells,CINEMA-OT,ot,0.2988785591,6.778836355
C5,op3_GSE279945,RNA,C5_loct_T_cells,cell-mean,simple,0.01121601339,15.79381457
C5,op3_GSE279945,RNA,C5_loct_T_cells,ctrl-pred,simple,-0.009041472018,7.174565527
C5,op3_GSE279945,RNA,C5_loct_T_cells,donor-shift,simple,0.3193161063,6.749320394
C5,op3_GSE279945,RNA,C5_loct_T_cells,linear-PCA,simple,0.3339668906,6.749321025
